D,N,ticks,n_obs,mean_abs,median_abs,std,bias,min,max,within_correct,within_1adj
15,300,3265,868599,16.559669076294128,13.5,22.74689271430066,0.1431512124697357,-179.9,180.0,79.20294635384107,95.27284742441564
15,350,4214,1326371,16.682040017461183,13.6,22.857652472319913,-0.24897490973490818,-179.9,179.9,78.8423450150825,95.02145327363158
15,400,5588,2072767,16.251385322132197,13.4,21.8808613003227,-0.28228826491351905,-180.0,180.0,79.25541076252178,95.6712934931905
20,5,7311,34855,37.77731171998278,21.7,54.21170535635233,-6.434732463061255,-179.9,180.0,51.46177019079041,72.16468225505666
20,10,2759,25871,31.570055274245295,20.1,46.15662763348522,-1.982509373429709,-179.7,179.8,55.749681110123305,79.169726721039
20,25,3350,70425,25.425563365282212,17.2,38.775335053479594,-1.814751863684771,-180.0,179.9,65.77635782747603,85.94675186368477
20,50,1002,18932,25.82395943376294,17.1,39.042330725077036,-1.961430382421297,-179.9,179.9,62.7931544474963,86.03950982463554
20,100,3248,291567,19.426505400131013,14.5,28.012652524382105,-0.04374123271838033,-180.0,179.9,73.50214530450977,91.51309990499611
20,150,3360,440630,18.65604134988539,14.6,25.85096216679979,-0.7930574404829449,-179.9,180.0,74.06667725756303,92.80257812677303
20,200,5128,948469,18.25806715875796,14.2,25.706319578421073,-0.06975736687229628,-180.0,179.9,75.19307431239186,93.32018231486744
20,250,3146,696316,16.857422204861013,13.6,23.281024359494452,0.021546826440868815,-179.8,179.8,78.4823269894703,94.85793806260376
20,300,7643,2167797,17.405012139051763,13.9,23.93298804275604,-0.11928298636818851,-180.0,180.0,76.16114423998188,94.33507842293352
20,350,4686,1506863,17.751507137676086,13.9,24.68996137398187,0.26756214732195294,-179.9,180.0,75.81823961435113,93.7889509530727
20,400,5132,1906785,16.99471513568651,13.6,23.440610242159934,-0.10385643897974854,-180.0,180.0,77.90296231614995,94.67375713570225
25,5,1131,3344,35.7494019138756,19.55,54.048451033907895,-9.810406698564593,-179.9,178.7,59.838516746411486,78.88755980861244
25,10,1970,12880,31.18840062111801,19.5,46.48688425384774,-2.8314130434782614,-179.5,179.9,57.66304347826087,79.78260869565217
25,25,1068,10432,30.60289493865031,18.6,46.550319476674304,1.9108895705521474,-179.9,179.9,58.19593558282209,80.81863496932516
25,50,6052,270042,25.111483398878697,17.5,37.50663474910588,0.16033950274401765,-180.0,180.0,65.25836721695144,86.65318728197836
25,100,1303,99766,18.838361766533687,13.6,29.832623371271364,0.4417797646492791,-180.0,180.0,79.1231481667101,92.74502335464987
25,150,3273,427979,20.06185467043944,15.1,29.57016703369844,0.22978440530960625,-180.0,180.0,73.4038352349064,91.6820685127074
25,200,3012,529085,17.899179148908015,14.0,25.15182534468036,-0.6762331194420557,-180.0,180.0,76.24653883591483,93.6499806269314
25,250,9999,2412996,18.205606557159655,14.1,25.36840689333908,-0.22001039371801692,-180.0,180.0,74.06986998735182,93.31975684999063
25,300,6219,1752013,18.254203479083785,14.2,25.60246191933808,0.16954120774217998,-180.0,180.0,74.62655813626954,93.35176165930275
25,350,2824,876663,15.977540286290171,13.3,21.753451000804034,-0.250470705390783,-179.9,179.8,81.17167029976171,95.76222562147598
25,400,9997,3925885,17.820814364149744,14.1,24.581621485660566,-0.09706988360586208,-180.0,180.0,74.67860113070046,93.9486001245579
35,5,2029,9033,37.29123214878778,22.1,53.87169065789699,-10.194121554300896,-179.2,179.7,50.736189527288836,73.30897819107716
35,10,2528,22832,29.83573493342677,18.4,45.913643525090414,-1.1775797126839525,-179.9,180.0,62.55255781359496,82.15662228451296
35,25,4100,89647,29.903913125927243,19.5,43.6191291321948,-1.2388378863765659,-179.9,179.8,58.76270260019856,80.23023637154617
35,50,957,23405,27.674458449049347,18.5,41.160607434895745,-2.3309079256569105,-179.4,180.0,57.987609485152745,83.40525528733177
35,100,1215,94599,16.27212232687449,13.2,23.421263073371424,-0.40119768707914455,-179.7,180.0,81.587543208702,95.76951130561633
35,150,1406,155910,18.278357385671217,13.8,27.071260211218963,0.6250458597909049,-180.0,180.0,79.06227952023603,92.94849592713746
35,200,3053,537827,19.89113413792911,14.8,28.83490602307245,-0.18150966760686987,-180.0,179.9,72.77767758033717,91.42084722410738
35,250,2033,424165,17.212223780840006,13.6,24.401998681436858,-0.5563172350382519,-180.0,180.0,79.45610788254571,94.11337569106362
35,300,1347,314508,16.965220916479073,13.6,24.203732729461283,0.3281058033499941,-179.8,179.9,82.02939193915576,94.09363195848755
35,350,6568,2173823,18.337299724954622,14.2,25.838615338160352,-0.03843822611132556,-180.0,180.0,74.95867878847542,93.1404258764398
35,400,6974,2664225,17.884736499357224,14.0,24.896607416121025,0.0917256988430031,-180.0,180.0,75.19732755304075,93.82191819384624
