"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D3_N250_R2.5"
"03/21/2026 20:27:19:886 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"58","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2186","2186","true","exiting","2185","0","0","250","5249.316138786337","0","0","17.504760296707023"
"52","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","4083","4083","true","exiting","4082","0","0","250","10286.023775836584","0","0","19.74555500872784"
"61","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1973","1973","true","exiting","1972","0","0","250","5450.386312728951","0","0","24.75052349200724"
"56","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2249","2249","true","exiting","2248","0","0","250","5971.749665728728","0","0","20.475758763761743"
"57","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2447","2447","true","exiting","2446","0","0","250","6376.741550112256","0","0","24.8909379866162"
"62","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2218","2218","true","exiting","2217","0","0","250","6054.347255933961","0","0","26.21876416779549"
"59","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2805","2805","true","exiting","2804","0","0","250","7298.561766169836","0","0","23.460766577257886"
"60","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2954","2954","true","exiting","2953","0","0","250","7728.021223408746","0","0","28.329344492612485"
"48","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","5251","5251","true","exiting","5250","0","0","250","12960.590173785798","0","0","16.49226714491853"
"64","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2389","2389","true","exiting","2388","0","0","250","6296.103279673947","0","0","22.840661780070104"
"68","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2021","2021","true","exiting","2020","0","0","250","5378.4324985856765","0","0","22.4723209260525"
"69","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1734","1734","true","exiting","1733","0","0","250","4716.21607223655","0","0","24.04509967452438"
"67","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2372","2372","true","exiting","2371","0","0","250","6036.051493336076","0","0","21.470028489776922"
"66","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3154","3154","true","exiting","3153","0","0","250","8360.366950901123","0","0","21.742828083296676"
"63","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3502","3502","true","exiting","3501","0","0","250","8492.373407107678","0","0","17.84207759711139"
"65","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3641","3641","true","exiting","3640","0","0","250","8969.582397357222","0","0","16.964929498423803"
"72","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1943","1943","true","exiting","1942","0","0","250","5297.126391703956","0","0","23.909856150902815"
"71","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3183","3183","true","exiting","3182","0","0","250","7678.233125773726","0","0","18.43849537943953"
"73","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2079","2079","true","exiting","2078","0","0","250","5529.39029528781","0","0","24.644602087208977"
"70","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3215","3215","true","exiting","3214","0","0","250","8002.764390396239","0","0","17.30780733599965"
"76","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2444","2444","true","exiting","2443","0","0","250","6398.635554729395","0","0","24.96100311935084"
"77","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1614","1614","true","exiting","1613","0","0","250","4512.060838689971","0","0","30.771416567002344"
"75","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2523","2523","true","exiting","2522","0","0","250","6625.471300575373","0","0","22.292624017563217"
"74","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2918","2918","true","exiting","2917","0","0","250","7496.382176191138","0","0","18.906652583980467"
"78","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2378","2378","true","exiting","2377","0","0","250","6168.428420558568","0","0","22.48092636705982"
"81","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1727","1727","true","exiting","1726","0","0","250","4672.300678341613","0","0","24.93766645010737"
"79","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2291","2291","true","exiting","2290","0","0","250","6092.977625924868","0","0","20.60926512474081"
"83","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1744","1744","true","exiting","1743","0","0","250","4827.638124608989","0","0","22.008635046626708"
